<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.06	120.65	123.25	120.60	123.25	126	205	1
2020.11.09	122.21	127.57	121.69	123.31	182	208	1
2020.11.10	122.73	124.92	122.73	124.66	66	379	1
2020.11.11	125.54	126.37	124.40	124.81	116	702	1
2020.11.12	123.93	125.80	123.31	125.28	101	754	1
2020.11.13	123.88	124.92	123.77	124.50	24	33	1
2020.11.16	122.73	132.25	122.73	130.33	383	398	1
2020.11.17	130.74	132.61	130.07	131.68	96	96	1
2020.11.18	134.17	137.19	132.20	135.21	349	399	1
2020.11.19	133.50	136.26	133.50	135.37	63	97	1
2020.11.20	135.06	137.30	130.48	131.37	93	126	1
2020.11.23	132.30	133.34	129.75	130.53	79	84	1
2020.11.24	130.53	130.53	126.53	127.67	99	111	1
2020.11.25	129.08	132.25	128.71	129.03	68	180	1
2020.11.26	129.29	132.09	128.19	132.09	23	43	1
2020.11.27	135.74	138.34	133.81	136.88	41	101	1
2020.11.30	137.04	137.04	135.21	135.21	9	34	1
2020.12.01	136.26	136.57	136.26	136.57	3	15	1
2020.12.02	137.14	138.02	135.73	137.45	141	223	1
2020.12.03	138.44	139.69	136.78	138.29	107	144	1
2020.12.04	138.55	139.53	135.42	135.84	111	253	1
2020.12.07	135.68	138.75	133.81	137.97	145	185	1
2020.12.08	137.45	139.12	137.04	138.08	63	71	1
2020.12.09	137.56	137.56	135.37	135.37	114	146	1
2020.12.10	137.40	140.42	136.57	140.06	258	304	1
2020.12.11	139.64	141.88	138.18	141.88	113	125	1
2020.12.14	141.62	145.26	141.31	144.85	285	421	1
2020.12.15	144.32	145.78	143.34	143.96	216	342	1
2020.12.16	144.43	149.53	144.43	147.40	286	358	1
2020.12.17	147.87	148.39	145.68	148.39	151	297	1
2020.12.18	148.91	149.11	143.75	145.99	189	255	1
2020.12.21	142.35	146.04	142.24	145.52	169	206	1
2020.12.22	145.78	147.45	144.59	145.16	115	135	1
2020.12.23	144.85	146.25	144.79	145.16	81	102	1
2020.12.28	145.11	146.30	142.14	143.23	138	182	1
2020.12.29	145.05	146.98	144.22	146.41	137	196	1
2020.12.30	147.87	148.07	146.10	146.62	80	92	1
2021.01.04	147.97	149.53	146.88	147.60	138	207	1
2021.01.05	147.66	148.18	145.21	146.41	250	285	1
2021.01.06	146.25	146.98	143.49	144.43	238	289	1
2021.01.07	144.74	145.63	142.14	142.24	137	162	1
2021.01.08	142.66	146.41	141.77	145.05	323	389	1
2021.01.11	144.95	145.05	142.40	143.23	251	373	1
2021.01.12	143.18	144.85	142.61	143.70	182	238	1
2021.01.13	145.63	147.87	144.22	147.34	356	420	1
2021.01.14	147.60	151.20	146.56	150.52	260	465	1
2021.01.15	152.39	154.37	150.21	150.94	500	630	1
